Time,Machine A,Machine B,Detector α 1,Detector α 2,Detector β 1 ,Detector β 2,Diverter ψ 1,Diverter ψ 2,Detector δ 1,Detector δ 2
hh:mm:ss,RPM,RPM,,,,,,,,
03:41:14,0,0,0,0,0,0,1,1,0,0
03:41:19,0,0,0,0,0,0,1,1,0,0
03:41:24,0,0,0,0,0,0,1,1,0,0
03:41:29,0,0,0,0,0,0,1,1,0,0
03:41:34,0,0,0,0,0,0,1,1,0,0
03:41:39,0,0,0,0,0,0,1,1,0,0
03:41:44,0,0,0,0,0,0,1,1,0,0
03:41:49,0,0,0,0,0,0,1,1,0,0
03:41:54,0,0,0,0,0,0,1,1,0,0
03:41:59,0,0,0,0,0,0,1,1,0,0
03:42:04,0,0,0,0,0,0,1,1,0,0
03:42:09,0,0,0,0,0,0,1,1,0,0
03:42:14,0,0,0,0,0,0,1,1,0,0
03:42:19,0,0,0,0,0,0,1,1,0,0
03:42:24,0,0,0,0,0,0,1,1,0,0
03:42:29,0,0,0,0,0,0,1,1,0,0
03:42:34,0,0,0,0,0,0,1,1,0,0
03:42:39,0,0,0,0,0,0,1,1,0,0
03:42:44,0,0,0,0,0,0,1,1,0,0
03:42:49,0,0,0,0,0,0,1,1,0,0
03:42:54,0,0,0,0,0,0,1,1,0,0
03:42:59,0,0,0,0,0,0,1,1,0,0
03:43:04,0,0,0,0,0,0,1,1,0,0
03:43:09,0,0,0,0,0,0,1,1,0,0
03:43:14,0,0,0,0,0,0,1,1,0,0
03:43:19,0,0,0,0,0,0,1,1,0,0
03:43:24,0,0,0,0,0,0,1,1,0,0
03:43:29,0,0,0,0,0,0,1,1,0,0
03:43:34,0,0,0,0,0,0,1,1,0,0
03:43:39,0,0,0,0,0,0,1,1,0,0
03:43:44,0,0,0,0,0,0,1,1,0,0
03:43:49,0,0,0,0,0,0,1,1,0,0
03:43:54,0,0,0,0,0,0,1,1,0,0
03:43:59,0,0,0,0,0,0,1,1,0,0
03:44:04,0,0,0,0,0,0,1,1,0,0
03:44:09,0,0,0,0,0,0,1,1,0,0
03:44:14,0,0,0,0,0,0,1,1,0,0
03:44:19,0,0,0,0,0,0,1,1,0,0
03:44:24,0,0,0,0,0,0,1,1,0,0
03:44:29,0,0,0,0,0,0,1,1,0,0
03:44:34,0,0,0,0,0,0,1,1,0,0
03:44:39,0,0,0,0,0,0,1,1,0,0
03:44:44,0,0,0,0,0,0,1,1,0,0
03:44:49,0,0,0,0,0,0,1,1,0,0
03:44:54,0,0,0,0,0,0,1,1,0,0
03:44:59,21,0,0,0,0,0,1,1,0,0
03:45:04,271,0,0,0,0,0,1,1,0,0
03:45:09,500,0,0,0,0,0,1,1,0,0
03:45:14,294,0,0,0,0,0,1,1,0,0
03:45:19,43,0,0,0,0,0,1,1,0,0
03:45:24,0,0,0,0,0,0,1,1,0,0
03:45:29,0,0,0,0,0,0,1,1,0,0
03:45:34,0,0,0,0,0,0,1,1,0,0
03:45:39,0,0,0,0,0,0,1,1,0,0
03:45:44,0,0,0,0,0,0,1,1,0,0
03:45:49,0,0,0,0,0,0,1,1,0,0
03:45:54,0,0,0,0,0,0,1,1,0,0
03:45:59,0,0,0,0,0,0,1,1,0,0
03:46:04,0,0,0,0,0,0,1,1,0,0
03:46:09,0,0,0,0,0,0,1,1,0,0
03:46:14,0,0,0,0,0,0,1,1,0,0
03:46:19,0,0,0,0,0,0,1,1,0,0
03:46:24,0,0,0,0,0,0,1,1,0,0
03:46:29,0,0,0,0,0,0,1,1,0,0
03:46:34,0,0,0,0,0,0,1,1,0,0
03:46:39,0,0,0,0,0,0,1,1,0,0
03:46:44,0,0,0,0,0,0,1,1,0,0
03:46:49,0,0,0,0,0,0,1,1,0,0
03:46:54,0,0,0,0,0,0,1,1,0,0
03:46:59,0,0,0,0,0,0,1,1,0,0
03:47:04,0,0,0,0,0,0,1,1,0,0
03:47:09,0,0,0,0,0,0,1,1,0,0
03:47:14,0,0,0,0,0,0,1,1,0,0
03:47:19,0,0,0,0,0,0,1,1,0,0
03:47:24,0,0,0,0,0,0,1,1,0,0
03:47:29,0,0,0,0,0,0,1,1,0,0
03:47:34,0,0,0,0,0,0,1,1,0,0
03:47:39,0,0,0,0,0,0,1,1,0,0
03:47:44,0,0,0,0,0,0,1,1,0,0
03:47:49,0,0,0,0,0,0,1,1,0,0
03:47:54,0,0,0,0,0,0,1,1,0,0
03:47:59,0,0,0,0,0,0,1,1,0,0
03:48:04,0,0,0,0,0,0,1,1,0,0
03:48:09,0,0,0,0,0,0,1,1,0,0
03:48:14,0,0,0,0,0,0,1,1,0,0
03:48:19,0,0,0,0,0,0,1,1,0,0
03:48:24,0,0,0,0,0,0,1,1,0,0
03:48:29,0,0,0,0,0,0,1,1,0,0
03:48:34,0,0,0,0,0,0,1,1,0,0
03:48:39,0,0,0,0,0,0,1,1,0,0
03:48:44,0,0,0,0,0,0,1,1,0,0
03:48:49,0,0,0,0,0,0,1,1,0,0
03:48:54,0,0,0,0,0,0,1,1,0,0
03:48:59,0,0,0,0,0,0,1,1,0,0
03:49:04,0,0,0,0,0,0,1,1,0,0
03:49:09,0,0,0,0,0,0,1,1,0,0
03:49:14,0,0,0,0,0,0,1,1,0,0
03:49:19,0,0,0,0,0,0,1,1,0,0
03:49:24,0,0,0,0,0,0,1,1,0,0
03:49:29,0,0,0,0,0,0,1,1,0,0
03:49:34,0,0,0,0,0,0,1,1,0,0
03:49:39,0,0,0,0,0,0,1,1,0,0
03:49:44,0,0,0,0,0,0,1,1,0,0
03:49:49,0,0,0,0,0,0,1,1,0,0
03:49:54,0,0,0,0,0,0,1,1,0,0
03:49:59,0,0,0,0,0,0,1,1,0,0
03:50:04,0,0,0,0,0,0,1,1,0,0
03:50:09,0,0,0,0,0,0,1,1,0,0
03:50:14,0,0,0,0,0,0,1,1,0,0
03:50:19,0,0,0,0,0,0,1,1,0,0
03:50:24,0,0,0,0,0,0,1,1,0,0
03:50:29,0,0,0,0,0,0,1,1,0,0
03:50:34,0,0,0,0,0,0,1,1,0,0
03:50:39,0,0,0,0,0,0,1,1,0,0
03:50:44,0,0,0,0,0,0,1,1,0,0
03:50:49,0,0,0,0,0,0,1,1,0,0
03:50:54,0,0,0,0,0,0,1,1,0,0
03:50:59,0,0,0,0,0,0,1,1,0,0
03:51:04,0,0,0,0,0,0,1,1,0,0
03:51:09,0,0,0,0,0,0,1,1,0,0
03:51:14,0,0,0,0,0,0,1,1,0,0
03:51:19,0,0,0,0,0,0,1,1,0,0
03:51:24,0,0,0,0,0,0,1,1,0,0
03:51:29,0,0,0,0,0,0,1,1,0,0
03:51:34,0,0,0,0,0,0,1,1,0,0
03:51:39,0,0,0,0,0,0,1,1,0,0
03:51:44,0,0,0,0,0,0,1,1,0,0
03:51:49,0,0,0,0,0,0,1,1,0,0
03:51:54,0,0,0,0,0,0,1,1,0,0
03:51:59,0,0,0,0,0,0,1,1,0,0
03:52:04,0,0,0,0,0,0,1,1,0,0
03:52:09,0,0,0,0,0,0,1,1,0,0
03:52:14,0,0,0,0,0,0,1,1,0,0
03:52:19,0,0,0,0,0,0,1,1,0,0
03:52:24,0,0,0,0,0,0,1,1,0,0
03:52:29,0,0,0,0,0,0,1,1,0,0
03:52:34,0,0,0,0,0,0,1,1,0,0
03:52:39,0,0,0,0,0,0,1,1,0,0
03:52:44,0,0,0,0,0,0,1,1,0,0
03:52:49,0,0,0,0,0,0,1,1,0,0
03:52:54,0,0,0,0,0,0,1,1,0,0
03:52:59,0,0,0,0,0,0,1,1,0,0
03:53:04,0,0,0,0,0,0,1,1,0,0
03:53:09,0,0,0,0,0,0,1,1,0,0
03:53:14,0,0,0,0,0,0,1,1,0,0
03:53:19,0,0,0,0,0,0,1,1,0,0
03:53:24,0,0,0,0,0,0,1,1,0,0
03:53:29,0,0,0,0,0,0,1,1,0,0
03:53:34,0,0,0,0,0,0,1,1,0,0
03:53:39,0,0,0,0,0,0,1,1,0,0
03:53:44,0,0,0,0,0,0,1,1,0,0
03:53:49,0,0,0,0,0,0,1,1,0,0
03:53:54,0,0,0,0,0,0,1,1,0,0
03:53:59,0,0,0,0,0,0,1,1,0,0
03:54:04,0,0,0,0,0,0,1,1,0,0
03:54:09,0,0,0,0,0,0,1,1,0,0
03:54:14,0,0,0,0,0,0,1,1,0,0
03:54:19,0,0,0,0,0,0,1,1,0,0
03:54:24,0,0,0,0,0,0,1,1,0,0
